id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26410078,Southbank - private room + en suite,50878501,Farnaz,,Melbourne,-37.82831,144.95946,Private room,65,1,0,,,2,281,0,
26425133,2 Beds 2 Baths City Apt free Parking/WiFi/Balcony,159278017,Spencer Street Apartments,,Melbourne,-37.81227,144.95103,Entire home/apt,513,2,9,2019-06-22,0.20,21,95,0,
26425948,2 Beds 1 Bath City Apt free Parking/WiFi/Balcony,159278017,Spencer Street Apartments,,Melbourne,-37.81023,144.95142,Entire home/apt,513,2,21,2020-07-11,0.47,21,109,0,
26426877,One bedroom for rent in private house,180799294,Younus,,Wyndham,-37.91335,144.75152,Private room,80,1,1,2019-12-08,0.04,1,88,0,
26428095,Windsor Pad,77202657,Pietro,,Stonnington,-37.85395,144.99577,Private room,199,7,2,2021-06-09,0.05,1,256,1,
26429940,Richmond peaceful private courtyard apartment,26239810,Justin,,Yarra,-37.80952,144.99916,Entire home/apt,79,2,14,2018-10-01,0.31,1,0,0,
26434410,Homely apartment in the heart of Brunswick,3436515,Daisy,,Moreland,-37.76064,144.96489,Entire home/apt,60,2,3,2018-11-15,0.07,1,0,0,
26438603,Thornbury Home with a View,37957462,Carmen,,Darebin,-37.76116,144.99985,Private room,100,1,1,2018-07-20,0.02,1,0,0,
26438943,"City View Cozy Apartment, A Home in Carlton",16497383,Lily,,Melbourne,-37.80307,144.96525,Entire home/apt,115,2,5,2020-02-02,0.13,1,0,0,
26442616,New York style apartment,94514012,Saphire,,Melbourne,-37.81407,144.95293,Entire home/apt,114,1,96,2022-02-23,2.16,2,229,26,
26456194,Merrigum Cottage,198947445,Jane,,Yarra Ranges,-37.79807,145.50591,Entire home/apt,196,2,42,2022-02-27,1.00,1,157,16,
26456615,Zeta Circuit Townhouse,55231433,Louise,,Casey,-38.08806,145.32315,Private room,40,7,0,,,1,0,0,
26459339,Entire Apartment in The Heart of Collingwood,5313265,Alaina,,Yarra,-37.80296,144.9839,Entire home/apt,100,5,0,,,1,0,0,
26476274,"Heritage Home in Carlton, 5 mins to Melb CBD",189679922,Sue,,Melbourne,-37.80386,144.96635,Private room,61,5,41,2020-01-24,0.90,6,0,0,
26479585,Scenic vacation house- Mount Dandenong Ranges,79749077,Mindy,,Yarra Ranges,-37.87466,145.39553,Entire home/apt,190,1,217,2022-03-04,5.03,2,291,55,
26480494,"Beautiful inner city home, close to Yarra river",25245479,Cass,,Yarra,-37.79814,144.99661,Entire home/apt,150,7,0,,,1,0,0,
26481841,Mi Casa is your home away from Home,199157050,Tony And Alicia,,Bayside,-37.90461,145.02445,Entire home/apt,177,2,52,2022-03-04,1.17,1,134,9,
26482462,Beachside living,133654486,Bernie,,Port Phillip,-37.84441,144.94338,Entire home/apt,110,3,2,2018-09-16,0.05,2,0,0,
26482632,"The Barn - Independent cottage with fireplace, spa",156749664,Penny,,Yarra Ranges,-37.82866,145.35346,Entire home/apt,343,1,104,2022-02-17,2.33,11,322,32,
26482649,Arnica Suite,156749664,Penny,,Yarra Ranges,-37.82902,145.35169,Hotel room,320,1,4,2022-02-19,0.09,11,350,2,
26483947,Bentleigh home away from home.,196716044,Siobhan,,Glen Eira,-37.9215,145.0278,Entire home/apt,180,2,30,2020-01-30,0.66,1,0,0,
26896908,Hawthorn East Family Home,7964835,James,,Boroondara,-37.83383,145.04783,Entire home/apt,550,5,2,2019-05-25,0.05,1,0,0,
26307907,Sunny East Melbourne Stay with Gym & Rooftop Pool,154877871,Justin,,Melbourne,-37.80952,144.9863,Entire home/apt,144,3,81,2022-03-06,1.92,53,314,12,
26311074,Stylish Cozy Carlton Cottage with well-lit bedroom,55623452,John,,Melbourne,-37.79477,144.97358,Private room,50,5,4,2022-02-20,2.67,1,51,4,
26312651,State of the Art 2Bed+2Bath Designer Lux Apartment,115113395,Kelly,,Port Phillip,-37.83538,144.97415,Entire home/apt,184,2,46,2022-02-20,1.03,15,55,9,
26315144,Beautiful Benalong Blue,171729606,Rob,,Manningham,-37.78388,145.11987,Private room,50,2,35,2020-02-08,0.79,3,365,0,
26318061,"Cute, Elegant townhouse between city and airport",152640623,Helen,,Moreland,-37.70781,144.92104,Entire home/apt,138,4,78,2022-02-19,1.75,4,139,19,
26337407,Southbank home away from home,43381284,Ilya,,Port Phillip,-37.83006,144.95653,Entire home/apt,145,4,10,2019-02-15,0.22,1,0,0,
26338488,Stylish 1BD in the Heart of Collingwood,46808032,Ilaria,,Yarra,-37.80356,144.98592,Entire home/apt,257,2,73,2022-02-25,1.65,1,320,16,
26338530,Stylish and Spacious Contemporary Apartment in St Kilda,32819553,Faye,,Port Phillip,-37.86368,144.97579,Entire home/apt,461,2,108,2022-03-05,2.44,3,137,31,
26339620,Courtyard Apartment close to train station,89991045,Melissa,,Hobsons Bay,-37.85836,144.90242,Hotel room,200,1,2,2019-09-15,0.07,21,216,0,
26340983,*1Bed Apt* Work From HERE >Internet< >WOOLIES<,7131157,Joanne & Scott,,Melbourne,-37.81437,144.9395,Entire home/apt,107,3,71,2020-05-05,1.56,10,0,0,
26346432,1 Neat private rm double bed for grab in Townhouse,519472,Joey,,Manningham,-37.79482,145.14334,Private room,65,2,0,,,2,88,0,
26612202,Twin Suite - Carlton Lygon Lodge,138073390,Irma,,Melbourne,-37.80092,144.96629,Private room,172,1,7,2020-01-26,0.17,4,166,0,
26618691,Frankston Peninsula Hilltop Retreat.,199176764,Robyn,,Frankston,-38.15757,145.16302,Private room,78,2,46,2019-09-22,1.05,7,54,0,
26639568,Separate room near Clayton station and Monash Uni.,116402860,Akshay,,Monash,-37.91545,145.12678,Private room,45,1,0,,,2,0,0,
26639604,Union Street Delight,5058834,Corrine,,Moreland,-37.77274,144.95196,Entire home/apt,100,2,36,2020-03-15,0.92,1,6,0,
26639647,New Opening 4 Star Apartments Hotel,95641308,MinJie,,Whitehorse,-37.81596,145.11215,Entire home/apt,248,1,0,,,3,364,0,
